row_ref,expected_decision,matched_row_ref,expected_enrichment_fields,expected_enrichment_resolution,is_planted_trap_case,trap_case_type
A_CLOTH_073,new_product,,,no_action_needed,False,None
A_CLOTH_074,new_product,,,no_action_needed,False,None
A_CLOTH_075,new_product,,,no_action_needed,False,None
A_CLOTH_076,new_product,,,no_action_needed,False,None
A_CLOTH_077,new_product,,,no_action_needed,False,None
A_CLOTH_078,new_product,,,no_action_needed,False,None
A_CLOTH_079,new_product,,,no_action_needed,False,None
A_CLOTH_080,new_product,,,no_action_needed,False,None
A_CLOTH_081,new_product,,,no_action_needed,False,None
A_CLOTH_082,new_product,,,no_action_needed,False,None
A_CLOTH_083,new_product,,,no_action_needed,False,None
A_CLOTH_084,new_product,,,no_action_needed,False,None
A_CLOTH_085,new_product,,,no_action_needed,False,None
A_CLOTH_086,new_product,,,no_action_needed,False,None
A_CLOTH_087,new_product,,,no_action_needed,False,None
A_CLOTH_088,new_product,,,no_action_needed,False,None
A_CLOTH_089,new_product,,,no_action_needed,False,None
A_CLOTH_090,new_product,,,no_action_needed,False,None
A_CLOTH_091,new_product,,,no_action_needed,False,None
A_CLOTH_092,new_product,,,no_action_needed,False,None
A_CLOTH_093,new_product,,,no_action_needed,False,None
A_CLOTH_094,new_product,,,no_action_needed,False,None
A_CLOTH_095,new_product,,,no_action_needed,False,None
A_CLOTH_096,new_product,,,no_action_needed,False,None
A_CLOTH_097,new_product,,,no_action_needed,False,None
A_CLOTH_098,new_product,,,no_action_needed,False,None
A_CLOTH_099,new_product,,,no_action_needed,False,None
A_CLOTH_100,new_product,,,no_action_needed,False,None
A_CLOTH_101,new_product,,,no_action_needed,False,None
A_CLOTH_102,new_product,,,no_action_needed,False,None
A_CLOTH_103,new_product,,,no_action_needed,False,None
A_CLOTH_104,new_product,,,no_action_needed,False,None
A_CLOTH_105,new_product,,,no_action_needed,False,None
A_CLOTH_106,new_product,,,no_action_needed,False,None
A_CLOTH_107,new_product,,,no_action_needed,False,None
A_CLOTH_108,new_product,,,no_action_needed,False,None
A_CLOTH_109,new_product,,,no_action_needed,False,None
A_CLOTH_110,new_product,,,no_action_needed,False,None
A_CLOTH_111,new_product,,,no_action_needed,False,None
A_CLOTH_112,new_product,,,no_action_needed,False,None
A_CLOTH_113,new_product,,,no_action_needed,False,None
A_CLOTH_114,new_product,,,no_action_needed,False,None
A_CLOTH_115,new_product,,,no_action_needed,False,None
A_CLOTH_116,new_product,,,no_action_needed,False,None
A_CLOTH_117,new_product,,,no_action_needed,False,None
A_CLOTH_118,new_product,,,no_action_needed,False,None
A_CLOTH_119,new_product,,,no_action_needed,False,None
A_CLOTH_120,new_product,,,no_action_needed,False,None
A_TSHIRT_001,new_product,,,no_action_needed,False,None
A_TSHIRT_002,new_product,,,no_action_needed,False,None
A_TSHIRT_003,new_product,,,no_action_needed,False,None
A_TSHIRT_004,new_product,,,no_action_needed,False,None
A_TSHIRT_005,new_product,,,no_action_needed,False,None
A_TSHIRT_006,new_product,,,no_action_needed,False,None
A_TSHIRT_007,new_product,,,no_action_needed,False,None
A_TSHIRT_008,new_product,,,no_action_needed,False,None
A_TSHIRT_009,new_product,,,no_action_needed,False,None
A_TSHIRT_010,new_product,,,no_action_needed,False,None
A_TSHIRT_011,new_product,,,no_action_needed,False,None
A_TSHIRT_012,new_product,,,no_action_needed,False,None
A_TSHIRT_013,new_product,,,no_action_needed,False,None
A_TSHIRT_014,new_product,,,no_action_needed,False,None
A_TSHIRT_015,new_product,,,no_action_needed,False,None
A_TSHIRT_016,new_product,,,no_action_needed,False,None
A_TSHIRT_017,new_product,,,no_action_needed,False,None
A_TSHIRT_018,new_product,,,no_action_needed,False,None
A_TSHIRT_019,new_product,,,no_action_needed,False,None
A_TSHIRT_020,new_product,,,no_action_needed,False,None
A_TSHIRT_021,new_product,,,no_action_needed,False,None
A_TSHIRT_022,new_product,,,no_action_needed,False,None
A_TSHIRT_023,new_product,,,no_action_needed,False,None
A_TSHIRT_024,new_product,,,no_action_needed,False,None
A_TSHIRT_025,new_product,,,no_action_needed,False,None
A_TSHIRT_026,new_product,,,no_action_needed,False,None
A_TSHIRT_027,new_product,,,no_action_needed,False,None
A_TSHIRT_028,new_product,,,no_action_needed,False,None
A_TSHIRT_029,new_product,,,no_action_needed,False,None
A_TSHIRT_030,new_product,,,no_action_needed,False,None
A_TSHIRT_031,new_product,,,no_action_needed,False,None
A_TSHIRT_032,new_product,,,no_action_needed,False,None
A_TSHIRT_033,new_product,,,no_action_needed,False,None
A_TSHIRT_034,new_product,,,no_action_needed,False,None
A_TSHIRT_035,new_product,,,no_action_needed,False,None
A_TSHIRT_036,new_product,,,no_action_needed,False,None
A_TSHIRT_037,new_product,,,no_action_needed,False,None
A_TSHIRT_038,new_product,,,no_action_needed,False,None
A_TSHIRT_039,new_product,,,no_action_needed,False,None
A_TSHIRT_040,new_product,,,no_action_needed,False,None
A_SHOE_001,new_product,,,no_action_needed,False,None
A_SHOE_002,new_product,,,no_action_needed,False,None
A_SHOE_003,new_product,,,no_action_needed,False,None
A_SHOE_004,new_product,,,no_action_needed,False,None
A_SHOE_005,new_product,,,no_action_needed,False,None
A_SHOE_006,new_product,,,no_action_needed,False,None
A_SHOE_007,new_product,,,no_action_needed,False,None
A_SHOE_008,new_product,,,no_action_needed,False,None
A_SHOE_009,new_product,,,no_action_needed,False,None
A_SHOE_010,new_product,,,no_action_needed,False,None
A_SHOE_011,new_product,,,no_action_needed,False,None
A_SHOE_012,new_product,,,no_action_needed,False,None
A_SHOE_013,new_product,,,no_action_needed,False,None
A_SHOE_014,new_product,,,no_action_needed,False,None
A_SHOE_015,new_product,,,no_action_needed,False,None
A_SHOE_016,new_product,,,no_action_needed,False,None
A_SHOE_017,new_product,,,no_action_needed,False,None
A_SHOE_018,new_product,,,no_action_needed,False,None
A_SHOE_019,new_product,,,no_action_needed,False,None
A_SHOE_020,new_product,,,no_action_needed,False,None
A_SHOE_021,new_product,,,no_action_needed,False,None
A_SHOE_022,new_product,,,no_action_needed,False,None
A_SHOE_023,new_product,,,no_action_needed,False,None
A_SHOE_024,new_product,,,no_action_needed,False,None
A_SHOE_025,new_product,,,no_action_needed,False,None
A_SHOE_026,new_product,,,no_action_needed,False,None
A_SHOE_027,new_product,,,no_action_needed,False,None
A_SHOE_028,new_product,,,no_action_needed,False,None
A_SHOE_029,new_product,,,no_action_needed,False,None
A_SHOE_030,new_product,,,no_action_needed,False,None
A_SHOE_031,new_product,,,no_action_needed,False,None
A_SHOE_032,new_product,,,no_action_needed,False,None
A_SHOE_033,new_product,,,no_action_needed,False,None
A_SHOE_034,new_product,,,no_action_needed,False,None
A_SHOE_035,new_product,,,no_action_needed,False,None
A_SHOE_036,new_product,,,no_action_needed,False,None
A_SHOE_037,new_product,,,no_action_needed,False,None
A_SHOE_038,new_product,,,no_action_needed,False,None
A_SHOE_039,new_product,,,no_action_needed,False,None
A_SHOE_040,new_product,,,no_action_needed,False,None
A_SHOE_041,new_product,,,no_action_needed,False,None
A_SHOE_042,new_product,,,no_action_needed,False,None
A_SHOE_043,new_product,,,no_action_needed,False,None
A_SHOE_044,new_product,,,no_action_needed,False,None
A_SHOE_045,new_product,,,no_action_needed,False,None
A_BAG_001,new_product,,,no_action_needed,False,None
A_BAG_002,new_product,,,no_action_needed,False,None
A_BAG_003,new_product,,,no_action_needed,False,None
A_BAG_004,new_product,,,no_action_needed,False,None
A_BAG_005,new_product,,,no_action_needed,False,None
A_BAG_006,new_product,,,no_action_needed,False,None
A_BAG_007,new_product,,,no_action_needed,False,None
A_BAG_008,new_product,,,no_action_needed,False,None
A_BAG_009,new_product,,,no_action_needed,False,None
A_BAG_010,new_product,,,no_action_needed,False,None
A_BAG_011,new_product,,,no_action_needed,False,None
A_BAG_012,new_product,,,no_action_needed,False,None
A_BAG_013,new_product,,,no_action_needed,False,None
A_BAG_014,new_product,,,no_action_needed,False,None
A_BAG_015,new_product,,,no_action_needed,False,None
A_BAG_016,new_product,,,no_action_needed,False,None
A_BAG_017,new_product,,,no_action_needed,False,None
A_BAG_018,new_product,,,no_action_needed,False,None
A_BAG_019,new_product,,,no_action_needed,False,None
A_BAG_020,new_product,,,no_action_needed,False,None
A_BAG_021,new_product,,,no_action_needed,False,None
A_BAG_022,new_product,,,no_action_needed,False,None
A_BAG_023,new_product,,,no_action_needed,False,None
A_BAG_024,new_product,,,no_action_needed,False,None
A_BAG_025,new_product,,,no_action_needed,False,None
A_BAG_026,new_product,,,no_action_needed,False,None
A_BAG_027,new_product,,,no_action_needed,False,None
A_BAG_028,new_product,,,no_action_needed,False,None
A_BAG_029,new_product,,,no_action_needed,False,None
A_BAG_030,new_product,,,no_action_needed,False,None
A_BAG_031,new_product,,,no_action_needed,False,None
A_BAG_032,new_product,,,no_action_needed,False,None
A_BAG_033,new_product,,,no_action_needed,False,None
A_BAG_034,new_product,,,no_action_needed,False,None
A_BAG_035,new_product,,,no_action_needed,False,None
A_BAG_036,new_product,,,no_action_needed,False,None
A_BAG_037,new_product,,,no_action_needed,False,None
A_BAG_038,new_product,,,no_action_needed,False,None
A_BAG_039,new_product,,,no_action_needed,False,None
A_BAG_040,new_product,,,no_action_needed,False,None
A_BAG_041,new_product,,,no_action_needed,False,None
A_BAG_042,new_product,,,no_action_needed,False,None
A_BAG_043,new_product,,,no_action_needed,False,None
A_BAG_044,new_product,,,no_action_needed,False,None
A_BAG_045,new_product,,,no_action_needed,False,None
B_NATURAL_001,new_product,,,no_action_needed,False,None
B_NATURAL_002,new_product,,,no_action_needed,False,None
B_NATURAL_003,new_product,,,no_action_needed,False,None
B_NATURAL_004,new_product,,,no_action_needed,False,None
B_NATURAL_005,new_product,,,no_action_needed,False,None
B_NATURAL_006,new_product,,,no_action_needed,False,None
B_NATURAL_007,new_product,,,no_action_needed,False,None
B_NATURAL_008,new_product,,,no_action_needed,False,None
B_NATURAL_009,new_product,,,no_action_needed,False,None
B_NATURAL_010,new_product,,,no_action_needed,False,None
B_NATURAL_011,new_product,,,no_action_needed,False,None
B_NATURAL_012,new_product,,,no_action_needed,False,None
B_NATURAL_013,new_product,,,no_action_needed,False,None
B_NATURAL_014,new_product,,,no_action_needed,False,None
B_NATURAL_015,new_product,,,no_action_needed,False,None
B_NATURAL_016,new_product,,,no_action_needed,False,None
B_NATURAL_017,new_product,,,no_action_needed,False,None
B_NATURAL_018,new_product,,,no_action_needed,False,None
B_NATURAL_019,new_product,,,no_action_needed,False,None
B_NATURAL_020,new_product,,,no_action_needed,False,None
B_NATURAL_021,new_product,,,no_action_needed,False,None
B_NATURAL_022,new_product,,,no_action_needed,False,None
B_NATURAL_023,new_product,,,no_action_needed,False,None
B_NATURAL_024,new_product,,,no_action_needed,False,None
B_NATURAL_025,new_product,,,no_action_needed,False,None
B_NATURAL_026,new_product,,,no_action_needed,False,None
B_NATURAL_027,new_product,,,no_action_needed,False,None
B_NATURAL_028,new_product,,,no_action_needed,False,None
B_NATURAL_029,new_product,,,no_action_needed,False,None
B_NATURAL_030,new_product,,,no_action_needed,False,None
B_NATURAL_031,new_product,,,no_action_needed,False,None
B_NATURAL_032,new_product,,,no_action_needed,False,None
B_NATURAL_033,new_product,,,no_action_needed,False,None
B_NATURAL_034,new_product,,,no_action_needed,False,None
B_NATURAL_035,new_product,,,no_action_needed,False,None
B_NATURAL_036,new_product,,,no_action_needed,False,None
B_NATURAL_037,new_product,,,no_action_needed,False,None
B_NATURAL_038,new_product,,,no_action_needed,False,None
B_NATURAL_039,new_product,,,no_action_needed,False,None
B_NATURAL_040,new_product,,,no_action_needed,False,None
B_NATURAL_041,new_product,,,no_action_needed,False,None
B_NATURAL_042,new_product,,,no_action_needed,False,None
B_NATURAL_043,new_product,,,no_action_needed,False,None
B_NATURAL_044,new_product,,,no_action_needed,False,None
B_NATURAL_045,new_product,,,no_action_needed,False,None
B_NATURAL_046,new_product,,,no_action_needed,False,None
B_NATURAL_047,new_product,,,no_action_needed,False,None
B_NATURAL_048,new_product,,,no_action_needed,False,None
B_NATURAL_049,new_product,,,no_action_needed,False,None
B_NATURAL_050,new_product,,,no_action_needed,False,None
B_NATURAL_051,new_product,,,no_action_needed,False,None
B_NATURAL_052,new_product,,,no_action_needed,False,None
B_NATURAL_053,new_product,,,no_action_needed,False,None
B_NATURAL_054,new_product,,,no_action_needed,False,None
B_NATURAL_055,new_product,,,no_action_needed,False,None
B_NATURAL_056,new_product,,,no_action_needed,False,None
B_NATURAL_057,new_product,,,no_action_needed,False,None
B_NATURAL_058,new_product,,,no_action_needed,False,None
B_NATURAL_059,new_product,,,no_action_needed,False,None
B_NATURAL_060,new_product,,,no_action_needed,False,None
B_NATURAL_061,new_product,,,no_action_needed,False,None
B_NATURAL_062,new_product,,,no_action_needed,False,None
B_NATURAL_063,new_product,,,no_action_needed,False,None
B_NATURAL_064,new_product,,,no_action_needed,False,None
B_NATURAL_065,new_product,,,no_action_needed,False,None
B_NATURAL_066,new_product,,,no_action_needed,False,None
B_NATURAL_067,new_product,,,no_action_needed,False,None
B_NATURAL_068,new_product,,,no_action_needed,False,None
B_NATURAL_069,new_product,,,no_action_needed,False,None
B_NATURAL_070,new_product,,,no_action_needed,False,None
B_NATURAL_071,new_product,,,no_action_needed,False,None
B_NATURAL_072,new_product,,,no_action_needed,False,None
B_NATURAL_073,new_product,,,no_action_needed,False,None
B_NATURAL_074,new_product,,,no_action_needed,False,None
B_NATURAL_075,new_product,,,no_action_needed,False,None
B_NATURAL_076,new_product,,,no_action_needed,False,None
B_NATURAL_077,new_product,,,no_action_needed,False,None
B_NATURAL_078,new_product,,,no_action_needed,False,None
B_NATURAL_079,new_product,,,no_action_needed,False,None
B_NATURAL_080,new_product,,,no_action_needed,False,None
B_NATURAL_081,new_product,,,no_action_needed,False,None
B_NATURAL_082,new_product,,,no_action_needed,False,None
B_NATURAL_083,new_product,,,no_action_needed,False,None
B_NATURAL_084,new_product,,,no_action_needed,False,None
B_NATURAL_085,new_product,,,no_action_needed,False,None
B_NATURAL_086,new_product,,,no_action_needed,False,None
B_NATURAL_087,new_product,,,no_action_needed,False,None
B_NATURAL_088,new_product,,,no_action_needed,False,None
B_NATURAL_089,new_product,,,no_action_needed,False,None
B_NATURAL_090,new_product,,,no_action_needed,False,None
B_NATURAL_091,new_product,,,no_action_needed,False,None
B_NATURAL_092,new_product,,,no_action_needed,False,None
B_NATURAL_093,new_product,,,no_action_needed,False,None
B_NATURAL_094,new_product,,,no_action_needed,False,None
B_NATURAL_095,new_product,,,no_action_needed,False,None
B_NATURAL_096,new_product,,,no_action_needed,False,None
B_NATURAL_097,new_product,,,no_action_needed,False,None
B_NATURAL_098,new_product,,,no_action_needed,False,None
B_NATURAL_099,new_product,,,no_action_needed,False,None
B_NATURAL_100,new_product,,,no_action_needed,False,None
B_NATURAL_101,new_product,,,no_action_needed,False,None
B_NATURAL_102,new_product,,,no_action_needed,False,None
B_NATURAL_103,new_product,,,no_action_needed,False,None
B_NATURAL_104,new_product,,,no_action_needed,False,None
B_NATURAL_105,new_product,,,no_action_needed,False,None
B_NATURAL_106,new_product,,,no_action_needed,False,None
B_NATURAL_107,new_product,,,no_action_needed,False,None
B_NATURAL_108,new_product,,,no_action_needed,False,None
B_NATURAL_109,new_product,,,no_action_needed,False,None
B_NATURAL_110,new_product,,,no_action_needed,False,None
B_NATURAL_111,new_product,,,no_action_needed,False,None
B_NATURAL_112,new_product,,,no_action_needed,False,None
B_NATURAL_113,new_product,,,no_action_needed,False,None
B_NATURAL_114,new_product,,,no_action_needed,False,None
B_NATURAL_115,new_product,,,no_action_needed,False,None
B_NATURAL_116,new_product,,,no_action_needed,False,None
B_NATURAL_117,new_product,,,no_action_needed,False,None
B_NATURAL_118,new_product,,,no_action_needed,False,None
B_NATURAL_119,new_product,,,no_action_needed,False,None
B_NATURAL_120,new_product,,,no_action_needed,False,None
B_NATURAL_121,new_product,,,no_action_needed,False,None
B_NATURAL_122,new_product,,,no_action_needed,False,None
B_NATURAL_123,new_product,,,no_action_needed,False,None
B_NATURAL_124,new_product,,,no_action_needed,False,None
B_NATURAL_125,new_product,,,no_action_needed,False,None
B_NATURAL_126,new_product,,,no_action_needed,False,None
B_NATURAL_127,new_product,,,no_action_needed,False,None
B_NATURAL_128,new_product,,,no_action_needed,False,None
B_NATURAL_129,new_product,,,no_action_needed,False,None
B_NATURAL_130,new_product,,,no_action_needed,False,None
B_NATURAL_131,new_product,,,no_action_needed,False,None
B_NATURAL_132,new_product,,,no_action_needed,False,None
B_NATURAL_133,new_product,,,no_action_needed,False,None
B_NATURAL_134,new_product,,,no_action_needed,False,None
B_NATURAL_135,new_product,,,no_action_needed,False,None
B_NATURAL_136,new_product,,,no_action_needed,False,None
B_NATURAL_137,new_product,,,no_action_needed,False,None
B_NATURAL_138,new_product,,,no_action_needed,False,None
B_NATURAL_139,new_product,,,no_action_needed,False,None
B_NATURAL_140,new_product,,,no_action_needed,False,None
B_NATURAL_141,new_product,,,no_action_needed,False,None
B_NATURAL_142,new_product,,,no_action_needed,False,None
B_NATURAL_143,new_product,,,no_action_needed,False,None
B_NATURAL_144,new_product,,,no_action_needed,False,None
B_NATURAL_145,new_product,,,no_action_needed,False,None
B_NATURAL_146,new_product,,,no_action_needed,False,None
B_NATURAL_147,new_product,,,no_action_needed,False,None
B_NATURAL_148,new_product,,,no_action_needed,False,None
B_NATURAL_149,new_product,,,no_action_needed,False,None
B_NATURAL_150,new_product,,,no_action_needed,False,None
B_INJECTED_001,matched_existing,A_CLOTH_011,,no_action_needed,True,exact_match_different_schema_clothing
B_INJECTED_002,matched_existing,A_CLOTH_021,,no_action_needed,True,exact_match_different_schema_clothing
B_INJECTED_003,matched_existing,A_CLOTH_031,,no_action_needed,True,exact_match_different_schema_clothing
B_INJECTED_004,matched_existing,A_CLOTH_041,,no_action_needed,True,exact_match_different_schema_clothing
B_INJECTED_005,matched_existing,A_TSHIRT_006,,no_action_needed,True,exact_match_different_schema_tshirts
B_INJECTED_006,matched_existing,A_TSHIRT_016,,no_action_needed,True,exact_match_different_schema_tshirts
B_INJECTED_007,matched_existing,A_TSHIRT_026,,no_action_needed,True,exact_match_different_schema_tshirts
B_INJECTED_008,matched_existing,A_TSHIRT_036,,no_action_needed,True,exact_match_different_schema_tshirts
B_INJECTED_009,matched_existing,A_SHOE_006,,no_action_needed,True,exact_match_different_schema_shoes
B_INJECTED_010,matched_existing,A_SHOE_016,,no_action_needed,True,exact_match_different_schema_shoes
B_INJECTED_011,matched_existing,A_SHOE_026,,no_action_needed,True,exact_match_different_schema_shoes
B_INJECTED_012,matched_existing,A_SHOE_036,,no_action_needed,True,exact_match_different_schema_shoes
B_INJECTED_013,matched_existing,A_BAG_006,,no_action_needed,True,exact_match_different_schema_handbags
B_INJECTED_014,matched_existing,A_BAG_016,,no_action_needed,True,exact_match_different_schema_handbags
B_INJECTED_015,matched_existing,A_BAG_026,,no_action_needed,True,exact_match_different_schema_handbags
B_INJECTED_016,new_product,,,no_action_needed,True,near_duplicate_different_product
B_INJECTED_017,new_product,,,no_action_needed,True,near_duplicate_different_product
B_INJECTED_018,new_product,,,no_action_needed,True,near_duplicate_different_product
B_INJECTED_019,new_product,,,no_action_needed,True,near_duplicate_different_product
B_INJECTED_020,new_product,,,no_action_needed,True,near_duplicate_different_product
B_INJECTED_021,new_product,,"color,material",filled_grounded,True,enrichable_missing_attribute
B_INJECTED_022,new_product,,"color,material",filled_grounded,True,enrichable_missing_attribute
B_INJECTED_023,new_product,,"color,material",filled_grounded,True,enrichable_missing_attribute
B_INJECTED_024,new_product,,"color,material",filled_grounded,True,enrichable_missing_attribute
B_INJECTED_025,new_product,,"color,material",filled_grounded,True,enrichable_missing_attribute
B_INJECTED_026,new_product,,"color,material",filled_grounded,True,enrichable_missing_attribute
B_INJECTED_027,new_product,,"color,material",left_flagged,True,no_reliable_source
B_INJECTED_028,new_product,,"color,material",left_flagged,True,no_reliable_source
B_INJECTED_029,new_product,,"color,material",left_flagged,True,no_reliable_source
B_INJECTED_030,new_product,,"color,material",left_flagged,True,no_reliable_source
B_INJECTED_031,new_product,,"color,material",left_flagged,True,no_reliable_source
